epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,533.836,2.04484,5.25387,1.92181,0.03498,0.13879,0.01564,0.00356,2.62893,4.06089,2.68487,0.00333146,0.00333146,0.00333146
2,865.492,2.07613,3.09208,1.95433,0.165,0.24911,0.10654,0.03198,2.33609,3.1231,2.25798,0.00653283,0.00653283,0.00653283
3,1228.92,2.17846,3.06251,2.04464,0.01747,0.34825,0.02218,0.00482,2.96653,5.2618,2.75618,0.0096022,0.0096022,0.0096022
4,1637.66,2.18948,3.03491,2.09779,0.21,0.25979,0.12706,0.04224,2.25144,3.18175,2.21049,0.009406,0.009406,0.009406
5,2006.38,2.09431,2.91466,1.99684,0.33655,0.11642,0.15623,0.04767,2.33848,3.16657,2.26251,0.009208,0.009208,0.009208
6,2375.62,2.0593,2.77343,1.97308,0.38773,0.22979,0.2279,0.08275,2.15678,2.72895,2.11443,0.00901,0.00901,0.00901
7,2746.27,2.01729,2.74113,1.93562,0.3003,0.1576,0.14331,0.05026,2.1697,3.05949,2.14733,0.008812,0.008812,0.008812
8,3102.29,2.03076,2.67761,1.9358,0.41357,0.3216,0.29244,0.10382,2.04162,2.64774,2.03228,0.008614,0.008614,0.008614
9,3450.39,1.9924,2.65739,1.91226,0.30899,0.03711,0.04602,0.01413,2.61082,4.86541,2.6504,0.008416,0.008416,0.008416
10,3799.52,1.96737,2.63249,1.88117,0.33458,0.29588,0.22731,0.07628,2.22932,2.94431,2.13252,0.008218,0.008218,0.008218
11,4150.5,1.95885,2.58449,1.87514,0.3749,0.34977,0.29621,0.1155,1.95894,2.60153,1.98623,0.00802,0.00802,0.00802
12,4520.04,1.94246,2.57582,1.87448,0.39706,0.33503,0.31218,0.11874,2.0499,2.64989,2.01426,0.007822,0.007822,0.007822
13,4869.02,1.93253,2.60505,1.84577,0.39635,0.3335,0.28585,0.10482,2.04847,2.59289,2.00536,0.007624,0.007624,0.007624
14,5218.86,1.91681,2.56671,1.83998,0.40672,0.3297,0.30834,0.11489,2.03483,2.61338,1.99872,0.007426,0.007426,0.007426
15,5566.96,1.90671,2.52187,1.82519,0.41622,0.34621,0.32447,0.12604,1.98847,2.5016,1.94839,0.007228,0.007228,0.007228
